omega,a,firm,profit
0,1,1,0.125497
0,1,2,0.125743
0,1.0101,1,0.126918
0,1.0101,2,0.125441
0,1.0202,1,0.125746
0,1.0202,2,0.126497
0,1.0303,1,0.126593
0,1.0303,2,0.124815
0,1.0404,1,0.124432
0,1.0404,2,0.126725
0,1.05051,1,0.126568
0,1.05051,2,0.127176
0,1.06061,1,0.125751
0,1.06061,2,0.126331
0,1.07071,1,0.126543
0,1.07071,2,0.126421
0,1.08081,1,0.125513
0,1.08081,2,0.125531
0,1.09091,1,0.127996
0,1.09091,2,0.126896
0,1.10101,1,0.126853
0,1.10101,2,0.126834
0,1.11111,1,0.126695
0,1.11111,2,0.125641
0,1.12121,1,0.126797
0,1.12121,2,0.126648
0,1.13131,1,0.127338
0,1.13131,2,0.126206
0,1.14141,1,0.12693
0,1.14141,2,0.125396
0,1.15152,1,0.12627
0,1.15152,2,0.126569
0,1.16162,1,0.126542
0,1.16162,2,0.127334
0,1.17172,1,0.125858
0,1.17172,2,0.125917
0,1.18182,1,0.127135
0,1.18182,2,0.126504
0,1.19192,1,0.126327
0,1.19192,2,0.126472
0,1.20202,1,0.1276
0,1.20202,2,0.124619
0,1.21212,1,0.125992
0,1.21212,2,0.125519
0,1.22222,1,0.126635
0,1.22222,2,0.125698
0,1.23232,1,0.125742
0,1.23232,2,0.126039
0,1.24242,1,0.125329
0,1.24242,2,0.125508
0,1.25253,1,0.125654
0,1.25253,2,0.12591
0,1.26263,1,0.125824
0,1.26263,2,0.126592
0,1.27273,1,0.126127
0,1.27273,2,0.126242
0,1.28283,1,0.125838
0,1.28283,2,0.126568
0,1.29293,1,0.125023
0,1.29293,2,0.126246
0,1.30303,1,0.125241
0,1.30303,2,0.124955
0,1.31313,1,0.125895
0,1.31313,2,0.125827
0,1.32323,1,0.125926
0,1.32323,2,0.126082
0,1.33333,1,0.125406
0,1.33333,2,0.124933
0,1.34343,1,0.125089
0,1.34343,2,0.126117
0,1.35354,1,0.125615
0,1.35354,2,0.123893
0,1.36364,1,0.125859
0,1.36364,2,0.126132
0,1.37374,1,0.124098
0,1.37374,2,0.125608
0,1.38384,1,0.125926
0,1.38384,2,0.125297
0,1.39394,1,0.127128
0,1.39394,2,0.125134
0,1.40404,1,0.124556
0,1.40404,2,0.12543
0,1.41414,1,0.126065
0,1.41414,2,0.125693
0,1.42424,1,0.125176
0,1.42424,2,0.125673
0,1.43434,1,0.124329
0,1.43434,2,0.125243
0,1.44444,1,0.124721
0,1.44444,2,0.12515
0,1.45455,1,0.124143
0,1.45455,2,0.125546
0,1.46465,1,0.125674
0,1.46465,2,0.124207
0,1.47475,1,0.125018
0,1.47475,2,0.124844
0,1.48485,1,0.125393
0,1.48485,2,0.126105
0,1.49495,1,0.122391
0,1.49495,2,0.125116
0,1.50505,1,0.124648
0,1.50505,2,0.125001
0,1.51515,1,0.125387
0,1.51515,2,0.123721
0,1.52525,1,0.124047
0,1.52525,2,0.125295
0,1.53535,1,0.12424
0,1.53535,2,0.125691
0,1.54545,1,0.125033
0,1.54545,2,0.123635
0,1.55556,1,0.123814
0,1.55556,2,0.124229
0,1.56566,1,0.124984
0,1.56566,2,0.123886
0,1.57576,1,0.123628
0,1.57576,2,0.12375
0,1.58586,1,0.124608
0,1.58586,2,0.124735
0,1.59596,1,0.123071
0,1.59596,2,0.124004
0,1.60606,1,0.124514
0,1.60606,2,0.12253
0,1.61616,1,0.124033
0,1.61616,2,0.122718
0,1.62626,1,0.122849
0,1.62626,2,0.123302
0,1.63636,1,0.122964
0,1.63636,2,0.124329
0,1.64646,1,0.124053
0,1.64646,2,0.123821
0,1.65657,1,0.124272
0,1.65657,2,0.12258
0,1.66667,1,0.123715
0,1.66667,2,0.123061
0,1.67677,1,0.122342
0,1.67677,2,0.123313
0,1.68687,1,0.123471
0,1.68687,2,0.122848
0,1.69697,1,0.121991
0,1.69697,2,0.122988
0,1.70707,1,0.125079
0,1.70707,2,0.12219
0,1.71717,1,0.122557
0,1.71717,2,0.123234
0,1.72727,1,0.123386
0,1.72727,2,0.123761
0,1.73737,1,0.122896
0,1.73737,2,0.123169
0,1.74747,1,0.124172
0,1.74747,2,0.122981
0,1.75758,1,0.123667
0,1.75758,2,0.122148
0,1.76768,1,0.122875
0,1.76768,2,0.122472
0,1.77778,1,0.121663
0,1.77778,2,0.123222
0,1.78788,1,0.122716
0,1.78788,2,0.122656
0,1.79798,1,0.12256
0,1.79798,2,0.121946
0,1.80808,1,0.121805
0,1.80808,2,0.122901
0,1.81818,1,0.123142
0,1.81818,2,0.122469
0,1.82828,1,0.122413
0,1.82828,2,0.121757
0,1.83838,1,0.122177
0,1.83838,2,0.12264
0,1.84848,1,0.121857
0,1.84848,2,0.122723
0,1.85859,1,0.121593
0,1.85859,2,0.122449
0,1.86869,1,0.122766
0,1.86869,2,0.121837
0,1.87879,1,0.122997
0,1.87879,2,0.122058
0,1.88889,1,0.121718
0,1.88889,2,0.123556
0,1.89899,1,0.122317
0,1.89899,2,0.122917
0,1.90909,1,0.123328
0,1.90909,2,0.122774
0,1.91919,1,0.123874
0,1.91919,2,0.123033
0,1.92929,1,0.123616
0,1.92929,2,0.123118
0,1.93939,1,0.123157
0,1.93939,2,0.122606
0,1.94949,1,0.125242
0,1.94949,2,0.123464
0,1.9596,1,0.123857
0,1.9596,2,0.12434
0,1.9697,1,0.124638
0,1.9697,2,0.123707
0,1.9798,1,0.124138
0,1.9798,2,0.125241
0,1.9899,1,0.126462
0,1.9899,2,0.124614
0,2,1,0.126495
0,2,2,0.125364
0.8,1,1,0.136017
0.8,1,2,0.136967
0.8,1.0101,1,0.136599
0.8,1.0101,2,0.135703
0.8,1.0202,1,0.13639
0.8,1.0202,2,0.135361
0.8,1.0303,1,0.136572
0.8,1.0303,2,0.136053
0.8,1.0404,1,0.135381
0.8,1.0404,2,0.135904
0.8,1.05051,1,0.136761
0.8,1.05051,2,0.136553
0.8,1.06061,1,0.136817
0.8,1.06061,2,0.13672
0.8,1.07071,1,0.136141
0.8,1.07071,2,0.136637
0.8,1.08081,1,0.13586
0.8,1.08081,2,0.136789
0.8,1.09091,1,0.136732
0.8,1.09091,2,0.13685
0.8,1.10101,1,0.136569
0.8,1.10101,2,0.136063
0.8,1.11111,1,0.136528
0.8,1.11111,2,0.136152
0.8,1.12121,1,0.136392
0.8,1.12121,2,0.135566
0.8,1.13131,1,0.13633
0.8,1.13131,2,0.136855
0.8,1.14141,1,0.136773
0.8,1.14141,2,0.136499
0.8,1.15152,1,0.136691
0.8,1.15152,2,0.136378
0.8,1.16162,1,0.135742
0.8,1.16162,2,0.136417
0.8,1.17172,1,0.135981
0.8,1.17172,2,0.135712
0.8,1.18182,1,0.135848
0.8,1.18182,2,0.136763
0.8,1.19192,1,0.136038
0.8,1.19192,2,0.135438
0.8,1.20202,1,0.136207
0.8,1.20202,2,0.136886
0.8,1.21212,1,0.135257
0.8,1.21212,2,0.136454
0.8,1.22222,1,0.135931
0.8,1.22222,2,0.135061
0.8,1.23232,1,0.136182
0.8,1.23232,2,0.135782
0.8,1.24242,1,0.134631
0.8,1.24242,2,0.135883
0.8,1.25253,1,0.135482
0.8,1.25253,2,0.136591
0.8,1.26263,1,0.135833
0.8,1.26263,2,0.136474
0.8,1.27273,1,0.135014
0.8,1.27273,2,0.135229
0.8,1.28283,1,0.135794
0.8,1.28283,2,0.13638
0.8,1.29293,1,0.135326
0.8,1.29293,2,0.135439
0.8,1.30303,1,0.136065
0.8,1.30303,2,0.135937
0.8,1.31313,1,0.135242
0.8,1.31313,2,0.135347
0.8,1.32323,1,0.135101
0.8,1.32323,2,0.135831
0.8,1.33333,1,0.135651
0.8,1.33333,2,0.134773
0.8,1.34343,1,0.1348
0.8,1.34343,2,0.134985
0.8,1.35354,1,0.135731
0.8,1.35354,2,0.134209
0.8,1.36364,1,0.135048
0.8,1.36364,2,0.135095
0.8,1.37374,1,0.135439
0.8,1.37374,2,0.1354
0.8,1.38384,1,0.133146
0.8,1.38384,2,0.134334
0.8,1.39394,1,0.134477
0.8,1.39394,2,0.135011
0.8,1.40404,1,0.134537
0.8,1.40404,2,0.133204
0.8,1.41414,1,0.133074
0.8,1.41414,2,0.13421
0.8,1.42424,1,0.13432
0.8,1.42424,2,0.132634
0.8,1.43434,1,0.13305
0.8,1.43434,2,0.133665
0.8,1.44444,1,0.133705
0.8,1.44444,2,0.133039
0.8,1.45455,1,0.131733
0.8,1.45455,2,0.132919
0.8,1.46465,1,0.133178
0.8,1.46465,2,0.133298
0.8,1.47475,1,0.131931
0.8,1.47475,2,0.131691
0.8,1.48485,1,0.13185
0.8,1.48485,2,0.131776
0.8,1.49495,1,0.130994
0.8,1.49495,2,0.131205
0.8,1.50505,1,0.131799
0.8,1.50505,2,0.130966
0.8,1.51515,1,0.131207
0.8,1.51515,2,0.131084
0.8,1.52525,1,0.129491
0.8,1.52525,2,0.132393
0.8,1.53535,1,0.129967
0.8,1.53535,2,0.131567
0.8,1.54545,1,0.129004
0.8,1.54545,2,0.129288
0.8,1.55556,1,0.130181
0.8,1.55556,2,0.129369
0.8,1.56566,1,0.12916
0.8,1.56566,2,0.128536
0.8,1.57576,1,0.128616
0.8,1.57576,2,0.130335
0.8,1.58586,1,0.128439
0.8,1.58586,2,0.129526
0.8,1.59596,1,0.128576
0.8,1.59596,2,0.128665
0.8,1.60606,1,0.129079
0.8,1.60606,2,0.128164
0.8,1.61616,1,0.129064
0.8,1.61616,2,0.127942
0.8,1.62626,1,0.128912
0.8,1.62626,2,0.130482
0.8,1.63636,1,0.12859
0.8,1.63636,2,0.128065
0.8,1.64646,1,0.128787
0.8,1.64646,2,0.129172
0.8,1.65657,1,0.127847
0.8,1.65657,2,0.127936
0.8,1.66667,1,0.12753
0.8,1.66667,2,0.127304
0.8,1.67677,1,0.127047
0.8,1.67677,2,0.127456
0.8,1.68687,1,0.129046
0.8,1.68687,2,0.12789
0.8,1.69697,1,0.127366
0.8,1.69697,2,0.129533
0.8,1.70707,1,0.127069
0.8,1.70707,2,0.128825
0.8,1.71717,1,0.128097
0.8,1.71717,2,0.127403
0.8,1.72727,1,0.127952
0.8,1.72727,2,0.128081
0.8,1.73737,1,0.128267
0.8,1.73737,2,0.12706
0.8,1.74747,1,0.127969
0.8,1.74747,2,0.127691
0.8,1.75758,1,0.128332
0.8,1.75758,2,0.12858
0.8,1.76768,1,0.127845
0.8,1.76768,2,0.129087
0.8,1.77778,1,0.127306
0.8,1.77778,2,0.127131
0.8,1.78788,1,0.127076
0.8,1.78788,2,0.127166
0.8,1.79798,1,0.128189
0.8,1.79798,2,0.128776
0.8,1.80808,1,0.128268
0.8,1.80808,2,0.129357
0.8,1.81818,1,0.12785
0.8,1.81818,2,0.128545
0.8,1.82828,1,0.128706
0.8,1.82828,2,0.127113
0.8,1.83838,1,0.12743
0.8,1.83838,2,0.12819
0.8,1.84848,1,0.127369
0.8,1.84848,2,0.127601
0.8,1.85859,1,0.127352
0.8,1.85859,2,0.126764
0.8,1.86869,1,0.128761
0.8,1.86869,2,0.127458
0.8,1.87879,1,0.126891
0.8,1.87879,2,0.125533
0.8,1.88889,1,0.12767
0.8,1.88889,2,0.127284
0.8,1.89899,1,0.128756
0.8,1.89899,2,0.130176
0.8,1.90909,1,0.127964
0.8,1.90909,2,0.127462
0.8,1.91919,1,0.12798
0.8,1.91919,2,0.128569
0.8,1.92929,1,0.127771
0.8,1.92929,2,0.127225
0.8,1.93939,1,0.127165
0.8,1.93939,2,0.127852
0.8,1.94949,1,0.127131
0.8,1.94949,2,0.127041
0.8,1.9596,1,0.127861
0.8,1.9596,2,0.128931
0.8,1.9697,1,0.128152
0.8,1.9697,2,0.127899
0.8,1.9798,1,0.129273
0.8,1.9798,2,0.127697
0.8,1.9899,1,0.128758
0.8,1.9899,2,0.127511
0.8,2,1,0.129676
0.8,2,2,0.12908
1,1,1,0.137936
1,1,2,0.137031
1,1.0101,1,0.137561
1,1.0101,2,0.137538
1,1.0202,1,0.137696
1,1.0202,2,0.137729
1,1.0303,1,0.137552
1,1.0303,2,0.137514
1,1.0404,1,0.137572
1,1.0404,2,0.137661
1,1.05051,1,0.137466
1,1.05051,2,0.137709
1,1.06061,1,0.13794
1,1.06061,2,0.137681
1,1.07071,1,0.137623
1,1.07071,2,0.137633
1,1.08081,1,0.137702
1,1.08081,2,0.137385
1,1.09091,1,0.137287
1,1.09091,2,0.137339
1,1.10101,1,0.136933
1,1.10101,2,0.137144
1,1.11111,1,0.137732
1,1.11111,2,0.137482
1,1.12121,1,0.137129
1,1.12121,2,0.137342
1,1.13131,1,0.137759
1,1.13131,2,0.137203
1,1.14141,1,0.137052
1,1.14141,2,0.137106
1,1.15152,1,0.137701
1,1.15152,2,0.137361
1,1.16162,1,0.137362
1,1.16162,2,0.137322
1,1.17172,1,0.137517
1,1.17172,2,0.137039
1,1.18182,1,0.137143
1,1.18182,2,0.13763
1,1.19192,1,0.137647
1,1.19192,2,0.137425
1,1.20202,1,0.137292
1,1.20202,2,0.137545
1,1.21212,1,0.137289
1,1.21212,2,0.137639
1,1.22222,1,0.137206
1,1.22222,2,0.136584
1,1.23232,1,0.13741
1,1.23232,2,0.136868
1,1.24242,1,0.137068
1,1.24242,2,0.137421
1,1.25253,1,0.137369
1,1.25253,2,0.136475
1,1.26263,1,0.136795
1,1.26263,2,0.137565
1,1.27273,1,0.137213
1,1.27273,2,0.137369
1,1.28283,1,0.136979
1,1.28283,2,0.136819
1,1.29293,1,0.137192
1,1.29293,2,0.137516
1,1.30303,1,0.137442
1,1.30303,2,0.137324
1,1.31313,1,0.137034
1,1.31313,2,0.137408
1,1.32323,1,0.137442
1,1.32323,2,0.136782
1,1.33333,1,0.137555
1,1.33333,2,0.137518
1,1.34343,1,0.13762
1,1.34343,2,0.13718
1,1.35354,1,0.1371
1,1.35354,2,0.13755
1,1.36364,1,0.13702
1,1.36364,2,0.137111
1,1.37374,1,0.136979
1,1.37374,2,0.136803
1,1.38384,1,0.137481
1,1.38384,2,0.136768
1,1.39394,1,0.13749
1,1.39394,2,0.13738
1,1.40404,1,0.137059
1,1.40404,2,0.137391
1,1.41414,1,0.137556
1,1.41414,2,0.137531
1,1.42424,1,0.137298
1,1.42424,2,0.137829
1,1.43434,1,0.137412
1,1.43434,2,0.13785
1,1.44444,1,0.137125
1,1.44444,2,0.137435
1,1.45455,1,0.137666
1,1.45455,2,0.137249
1,1.46465,1,0.136809
1,1.46465,2,0.136458
1,1.47475,1,0.136965
1,1.47475,2,0.137419
1,1.48485,1,0.137391
1,1.48485,2,0.137167
1,1.49495,1,0.136718
1,1.49495,2,0.13699
1,1.50505,1,0.136084
1,1.50505,2,0.136685
1,1.51515,1,0.136272
1,1.51515,2,0.136034
1,1.52525,1,0.137892
1,1.52525,2,0.136995
1,1.53535,1,0.137257
1,1.53535,2,0.136112
1,1.54545,1,0.137244
1,1.54545,2,0.136239
1,1.55556,1,0.136025
1,1.55556,2,0.136268
1,1.56566,1,0.136075
1,1.56566,2,0.136542
1,1.57576,1,0.137092
1,1.57576,2,0.136716
1,1.58586,1,0.137398
1,1.58586,2,0.137245
1,1.59596,1,0.136939
1,1.59596,2,0.136881
1,1.60606,1,0.136744
1,1.60606,2,0.136556
1,1.61616,1,0.135865
1,1.61616,2,0.136102
1,1.62626,1,0.137071
1,1.62626,2,0.137985
1,1.63636,1,0.135947
1,1.63636,2,0.13538
1,1.64646,1,0.136536
1,1.64646,2,0.136137
1,1.65657,1,0.136012
1,1.65657,2,0.137042
1,1.66667,1,0.136235
1,1.66667,2,0.135307
1,1.67677,1,0.135855
1,1.67677,2,0.135215
1,1.68687,1,0.134658
1,1.68687,2,0.135702
1,1.69697,1,0.136195
1,1.69697,2,0.13568
1,1.70707,1,0.135433
1,1.70707,2,0.135796
1,1.71717,1,0.135755
1,1.71717,2,0.13505
1,1.72727,1,0.135217
1,1.72727,2,0.135345
1,1.73737,1,0.133511
1,1.73737,2,0.13535
1,1.74747,1,0.136035
1,1.74747,2,0.135653
1,1.75758,1,0.134284
1,1.75758,2,0.134648
1,1.76768,1,0.135184
1,1.76768,2,0.134582
1,1.77778,1,0.136196
1,1.77778,2,0.136031
1,1.78788,1,0.135887
1,1.78788,2,0.136681
1,1.79798,1,0.136109
1,1.79798,2,0.135862
1,1.80808,1,0.134909
1,1.80808,2,0.135111
1,1.81818,1,0.135964
1,1.81818,2,0.135724
1,1.82828,1,0.134528
1,1.82828,2,0.134435
1,1.83838,1,0.134679
1,1.83838,2,0.134881
1,1.84848,1,0.135927
1,1.84848,2,0.135676
1,1.85859,1,0.13622
1,1.85859,2,0.135624
1,1.86869,1,0.13516
1,1.86869,2,0.135195
1,1.87879,1,0.134778
1,1.87879,2,0.13466
1,1.88889,1,0.134336
1,1.88889,2,0.136423
1,1.89899,1,0.135488
1,1.89899,2,0.134284
1,1.90909,1,0.135761
1,1.90909,2,0.135734
1,1.91919,1,0.135889
1,1.91919,2,0.135231
1,1.92929,1,0.136265
1,1.92929,2,0.135502
1,1.93939,1,0.136086
1,1.93939,2,0.135142
1,1.94949,1,0.135178
1,1.94949,2,0.135767
1,1.9596,1,0.135541
1,1.9596,2,0.134343
1,1.9697,1,0.136343
1,1.9697,2,0.135473
1,1.9798,1,0.136722
1,1.9798,2,0.136461
1,1.9899,1,0.137437
1,1.9899,2,0.137958
1,2,1,0.139903
1,2,2,0.137918
