omega,c,cs
0,0,0.395473
0,0.00505051,0.395326
0,0.010101,0.394404
0,0.0151515,0.393702
0,0.020202,0.392295
0,0.0252525,0.391787
0,0.030303,0.389513
0,0.0353535,0.388817
0,0.040404,0.388822
0,0.0454545,0.390863
0,0.0505051,0.387909
0,0.0555556,0.389266
0,0.0606061,0.387536
0,0.0656566,0.384754
0,0.0707071,0.385007
0,0.0757576,0.385896
0,0.0808081,0.382596
0,0.0858586,0.384964
0,0.0909091,0.382404
0,0.0959596,0.383039
0,0.10101,0.38081
0,0.106061,0.379129
0,0.111111,0.380997
0,0.116162,0.378428
0,0.121212,0.378224
0,0.126263,0.38194
0,0.131313,0.379782
0,0.136364,0.377592
0,0.141414,0.376554
0,0.146465,0.374493
0,0.151515,0.378963
0,0.156566,0.374932
0,0.161616,0.373428
0,0.166667,0.376102
0,0.171717,0.374871
0,0.176768,0.373477
0,0.181818,0.373609
0,0.186869,0.371428
0,0.191919,0.372194
0,0.19697,0.372565
0,0.20202,0.372037
0,0.207071,0.371496
0,0.212121,0.368998
0,0.217172,0.367
0,0.222222,0.367572
0,0.227273,0.366081
0,0.232323,0.367134
0,0.237374,0.367274
0,0.242424,0.367502
0,0.247475,0.363628
0,0.252525,0.362672
0,0.257576,0.36303
0,0.262626,0.363889
0,0.267677,0.363327
0,0.272727,0.36368
0,0.277778,0.361917
0,0.282828,0.359773
0,0.287879,0.361856
0,0.292929,0.360178
0,0.29798,0.358945
0,0.30303,0.358329
0,0.308081,0.356372
0,0.313131,0.357953
0,0.318182,0.357855
0,0.323232,0.357315
0,0.328283,0.355317
0,0.333333,0.356385
0,0.338384,0.353953
0,0.343434,0.353212
0,0.348485,0.354003
0,0.353535,0.351523
0,0.358586,0.352563
0,0.363636,0.352622
0,0.368687,0.351471
0,0.373737,0.351478
0,0.378788,0.348827
0,0.383838,0.348877
0,0.388889,0.350147
0,0.393939,0.349384
0,0.39899,0.347523
0,0.40404,0.348683
0,0.409091,0.348013
0,0.414141,0.345973
0,0.419192,0.347751
0,0.424242,0.346239
0,0.429293,0.344228
0,0.434343,0.344077
0,0.439394,0.344783
0,0.444444,0.343254
0,0.449495,0.342757
0,0.454545,0.343837
0,0.459596,0.342663
0,0.464646,0.34125
0,0.469697,0.340832
0,0.474747,0.340238
0,0.479798,0.338183
0,0.484848,0.340441
0,0.489899,0.339678
0,0.494949,0.339529
0,0.5,0.337949
0.8,0,0.391452
0.8,0.00505051,0.392254
0.8,0.010101,0.389784
0.8,0.0151515,0.388227
0.8,0.020202,0.386315
0.8,0.0252525,0.386537
0.8,0.030303,0.386807
0.8,0.0353535,0.384188
0.8,0.040404,0.38146
0.8,0.0454545,0.388165
0.8,0.0505051,0.381738
0.8,0.0555556,0.380163
0.8,0.0606061,0.380908
0.8,0.0656566,0.380333
0.8,0.0707071,0.378111
0.8,0.0757576,0.379946
0.8,0.0808081,0.378528
0.8,0.0858586,0.376506
0.8,0.0909091,0.371348
0.8,0.0959596,0.374373
0.8,0.10101,0.375988
0.8,0.106061,0.373432
0.8,0.111111,0.374098
0.8,0.116162,0.373137
0.8,0.121212,0.370699
0.8,0.126263,0.376724
0.8,0.131313,0.372042
0.8,0.136364,0.367943
0.8,0.141414,0.368256
0.8,0.146465,0.369047
0.8,0.151515,0.362641
0.8,0.156566,0.367947
0.8,0.161616,0.365137
0.8,0.166667,0.364558
0.8,0.171717,0.364641
0.8,0.176768,0.363153
0.8,0.181818,0.360573
0.8,0.186869,0.361621
0.8,0.191919,0.360807
0.8,0.19697,0.361441
0.8,0.20202,0.358666
0.8,0.207071,0.35907
0.8,0.212121,0.35928
0.8,0.217172,0.358658
0.8,0.222222,0.361213
0.8,0.227273,0.357761
0.8,0.232323,0.35565
0.8,0.237374,0.356167
0.8,0.242424,0.352862
0.8,0.247475,0.353301
0.8,0.252525,0.352116
0.8,0.257576,0.349297
0.8,0.262626,0.351428
0.8,0.267677,0.349729
0.8,0.272727,0.351364
0.8,0.277778,0.348917
0.8,0.282828,0.345277
0.8,0.287879,0.346536
0.8,0.292929,0.345354
0.8,0.29798,0.349478
0.8,0.30303,0.345272
0.8,0.308081,0.346708
0.8,0.313131,0.344
0.8,0.318182,0.345349
0.8,0.323232,0.344441
0.8,0.328283,0.342024
0.8,0.333333,0.343615
0.8,0.338384,0.341815
0.8,0.343434,0.339503
0.8,0.348485,0.339691
0.8,0.353535,0.339523
0.8,0.358586,0.338521
0.8,0.363636,0.336432
0.8,0.368687,0.336597
0.8,0.373737,0.339118
0.8,0.378788,0.340416
0.8,0.383838,0.337301
0.8,0.388889,0.336556
0.8,0.393939,0.333265
0.8,0.39899,0.333193
0.8,0.40404,0.334616
0.8,0.409091,0.331847
0.8,0.414141,0.335425
0.8,0.419192,0.334833
0.8,0.424242,0.331653
0.8,0.429293,0.331593
0.8,0.434343,0.331992
0.8,0.439394,0.328182
0.8,0.444444,0.334218
0.8,0.449495,0.329899
0.8,0.454545,0.330086
0.8,0.459596,0.33033
0.8,0.464646,0.328706
0.8,0.469697,0.330749
0.8,0.474747,0.327899
0.8,0.479798,0.32746
0.8,0.484848,0.329071
0.8,0.489899,0.32849
0.8,0.494949,0.325864
0.8,0.5,0.322934
1,0,0.325885
1,0.00505051,0.328434
1,0.010101,0.332352
1,0.0151515,0.331652
1,0.020202,0.332817
1,0.0252525,0.330307
1,0.030303,0.331748
1,0.0353535,0.329899
1,0.040404,0.333535
1,0.0454545,0.337544
1,0.0505051,0.327289
1,0.0555556,0.332632
1,0.0606061,0.328038
1,0.0656566,0.327314
1,0.0707071,0.325602
1,0.0757576,0.330149
1,0.0808081,0.324518
1,0.0858586,0.326736
1,0.0909091,0.321837
1,0.0959596,0.328576
1,0.10101,0.322954
1,0.106061,0.327467
1,0.111111,0.31818
1,0.116162,0.322898
1,0.121212,0.32273
1,0.126263,0.319814
1,0.131313,0.315622
1,0.136364,0.323448
1,0.141414,0.321722
1,0.146465,0.318758
1,0.151515,0.320824
1,0.156566,0.32397
1,0.161616,0.322056
1,0.166667,0.321659
1,0.171717,0.322309
1,0.176768,0.325567
1,0.181818,0.320964
1,0.186869,0.316063
1,0.191919,0.323402
1,0.19697,0.318733
1,0.20202,0.322127
1,0.207071,0.320756
1,0.212121,0.31942
1,0.217172,0.323648
1,0.222222,0.32297
1,0.227273,0.320754
1,0.232323,0.320962
1,0.237374,0.321683
1,0.242424,0.321212
1,0.247475,0.322021
1,0.252525,0.321277
1,0.257576,0.318317
1,0.262626,0.315739
1,0.267677,0.31981
1,0.272727,0.316163
1,0.277778,0.318292
1,0.282828,0.313782
1,0.287879,0.318221
1,0.292929,0.315321
1,0.29798,0.315683
1,0.30303,0.313348
1,0.308081,0.31811
1,0.313131,0.316865
1,0.318182,0.311197
1,0.323232,0.31546
1,0.328283,0.311713
1,0.333333,0.314063
1,0.338384,0.311121
1,0.343434,0.304861
1,0.348485,0.30838
1,0.353535,0.310814
1,0.358586,0.309519
1,0.363636,0.312543
1,0.368687,0.308118
1,0.373737,0.310155
1,0.378788,0.310616
1,0.383838,0.307576
1,0.388889,0.30735
1,0.393939,0.305776
1,0.39899,0.307398
1,0.40404,0.307404
1,0.409091,0.309279
1,0.414141,0.303958
1,0.419192,0.307334
1,0.424242,0.307493
1,0.429293,0.306539
1,0.434343,0.306496
1,0.439394,0.309635
1,0.444444,0.309737
1,0.449495,0.304824
1,0.454545,0.305884
1,0.459596,0.305794
1,0.464646,0.303654
1,0.469697,0.302341
1,0.474747,0.303991
1,0.479798,0.300502
1,0.484848,0.30628
1,0.489899,0.301422
1,0.494949,0.300218
1,0.5,0.30124
