omega,c,firm,price
0,0,1,1.6981
0,0,2,1.70259
0,0.00505051,1,1.69245
0,0.00505051,2,1.7039
0,0.010101,1,1.70531
0,0.010101,2,1.6913
0,0.0151515,1,1.70351
0,0.0151515,2,1.69167
0,0.020202,1,1.70013
0,0.020202,2,1.69451
0,0.0252525,1,1.70373
0,0.0252525,2,1.69549
0,0.030303,1,1.70034
0,0.030303,2,1.70201
0,0.0353535,1,1.70893
0,0.0353535,2,1.69562
0,0.040404,1,1.69161
0,0.040404,2,1.70091
0,0.0454545,1,1.70557
0,0.0454545,2,1.68736
0,0.0505051,1,1.70249
0,0.0505051,2,1.68929
0,0.0555556,1,1.69392
0,0.0555556,2,1.69658
0,0.0606061,1,1.69085
0,0.0606061,2,1.69918
0,0.0656566,1,1.68795
0,0.0656566,2,1.7082
0,0.0707071,1,1.69341
0,0.0707071,2,1.69428
0,0.0757576,1,1.69728
0,0.0757576,2,1.68974
0,0.0808081,1,1.70796
0,0.0808081,2,1.69192
0,0.0858586,1,1.69675
0,0.0858586,2,1.68851
0,0.0909091,1,1.70066
0,0.0909091,2,1.69013
0,0.0959596,1,1.68812
0,0.0959596,2,1.6902
0,0.10101,1,1.69907
0,0.10101,2,1.68155
0,0.106061,1,1.70944
0,0.106061,2,1.68288
0,0.111111,1,1.69683
0,0.111111,2,1.68565
0,0.116162,1,1.70426
0,0.116162,2,1.67917
0,0.121212,1,1.69
0,0.121212,2,1.68629
0,0.126263,1,1.68152
0,0.126263,2,1.68478
0,0.131313,1,1.69091
0,0.131313,2,1.67958
0,0.136364,1,1.68833
0,0.136364,2,1.69026
0,0.141414,1,1.69052
0,0.141414,2,1.68553
0,0.146465,1,1.68654
0,0.146465,2,1.69024
0,0.151515,1,1.67746
0,0.151515,2,1.6849
0,0.156566,1,1.68936
0,0.156566,2,1.68657
0,0.161616,1,1.69209
0,0.161616,2,1.68941
0,0.166667,1,1.69542
0,0.166667,2,1.67786
0,0.171717,1,1.69134
0,0.171717,2,1.68223
0,0.176768,1,1.68008
0,0.176768,2,1.68548
0,0.181818,1,1.67634
0,0.181818,2,1.69722
0,0.186869,1,1.68476
0,0.186869,2,1.68754
0,0.191919,1,1.68622
0,0.191919,2,1.67597
0,0.19697,1,1.6795
0,0.19697,2,1.67812
0,0.20202,1,1.68197
0,0.20202,2,1.67442
0,0.207071,1,1.67408
0,0.207071,2,1.6786
0,0.212121,1,1.68385
0,0.212121,2,1.67782
0,0.217172,1,1.6763
0,0.217172,2,1.69217
0,0.222222,1,1.67898
0,0.222222,2,1.68048
0,0.227273,1,1.68249
0,0.227273,2,1.68491
0,0.232323,1,1.67245
0,0.232323,2,1.67926
0,0.237374,1,1.67123
0,0.237374,2,1.67331
0,0.242424,1,1.67127
0,0.242424,2,1.67695
0,0.247475,1,1.68212
0,0.247475,2,1.68622
0,0.252525,1,1.68873
0,0.252525,2,1.67914
0,0.257576,1,1.67423
0,0.257576,2,1.67794
0,0.262626,1,1.67076
0,0.262626,2,1.68419
0,0.267677,1,1.67946
0,0.267677,2,1.67382
0,0.272727,1,1.67599
0,0.272727,2,1.67562
0,0.277778,1,1.66903
0,0.277778,2,1.6752
0,0.282828,1,1.68071
0,0.282828,2,1.67269
0,0.287879,1,1.667
0,0.287879,2,1.67497
0,0.292929,1,1.6752
0,0.292929,2,1.66741
0,0.29798,1,1.66959
0,0.29798,2,1.68567
0,0.30303,1,1.67451
0,0.30303,2,1.68129
0,0.308081,1,1.67035
0,0.308081,2,1.68003
0,0.313131,1,1.68286
0,0.313131,2,1.6693
0,0.318182,1,1.67097
0,0.318182,2,1.67687
0,0.323232,1,1.67159
0,0.323232,2,1.67381
0,0.328283,1,1.66754
0,0.328283,2,1.67709
0,0.333333,1,1.66912
0,0.333333,2,1.67708
0,0.338384,1,1.67258
0,0.338384,2,1.67103
0,0.343434,1,1.6711
0,0.343434,2,1.67311
0,0.348485,1,1.67207
0,0.348485,2,1.66897
0,0.353535,1,1.6664
0,0.353535,2,1.68196
0,0.358586,1,1.67485
0,0.358586,2,1.66889
0,0.363636,1,1.6668
0,0.363636,2,1.66475
0,0.368687,1,1.66756
0,0.368687,2,1.66714
0,0.373737,1,1.67154
0,0.373737,2,1.6679
0,0.378788,1,1.67998
0,0.378788,2,1.66629
0,0.383838,1,1.66864
0,0.383838,2,1.67591
0,0.388889,1,1.67178
0,0.388889,2,1.66451
0,0.393939,1,1.66777
0,0.393939,2,1.66155
0,0.39899,1,1.67037
0,0.39899,2,1.66539
0,0.40404,1,1.66625
0,0.40404,2,1.66605
0,0.409091,1,1.66105
0,0.409091,2,1.66586
0,0.414141,1,1.66558
0,0.414141,2,1.66951
0,0.419192,1,1.6695
0,0.419192,2,1.65886
0,0.424242,1,1.6669
0,0.424242,2,1.66575
0,0.429293,1,1.66509
0,0.429293,2,1.67067
0,0.434343,1,1.66537
0,0.434343,2,1.66883
0,0.439394,1,1.67734
0,0.439394,2,1.65917
0,0.444444,1,1.6655
0,0.444444,2,1.66492
0,0.449495,1,1.6614
0,0.449495,2,1.66861
0,0.454545,1,1.66802
0,0.454545,2,1.66364
0,0.459596,1,1.65806
0,0.459596,2,1.66358
0,0.464646,1,1.66669
0,0.464646,2,1.66593
0,0.469697,1,1.664
0,0.469697,2,1.66529
0,0.474747,1,1.6658
0,0.474747,2,1.66548
0,0.479798,1,1.66679
0,0.479798,2,1.66774
0,0.484848,1,1.66177
0,0.484848,2,1.66178
0,0.489899,1,1.66304
0,0.489899,2,1.66332
0,0.494949,1,1.66287
0,0.494949,2,1.66006
0,0.5,1,1.66581
0,0.5,2,1.65696
0.8,0,1,1.70373
0.8,0,2,1.70346
0.8,0.00505051,1,1.70208
0.8,0.00505051,2,1.70262
0.8,0.010101,1,1.70497
0.8,0.010101,2,1.70264
0.8,0.0151515,1,1.6983
0.8,0.0151515,2,1.71211
0.8,0.020202,1,1.70539
0.8,0.020202,2,1.71149
0.8,0.0252525,1,1.70593
0.8,0.0252525,2,1.70707
0.8,0.030303,1,1.70129
0.8,0.030303,2,1.70422
0.8,0.0353535,1,1.70805
0.8,0.0353535,2,1.70298
0.8,0.040404,1,1.70194
0.8,0.040404,2,1.71635
0.8,0.0454545,1,1.69621
0.8,0.0454545,2,1.69555
0.8,0.0505051,1,1.71132
0.8,0.0505051,2,1.69288
0.8,0.0555556,1,1.70353
0.8,0.0555556,2,1.70259
0.8,0.0606061,1,1.7077
0.8,0.0606061,2,1.69776
0.8,0.0656566,1,1.69682
0.8,0.0656566,2,1.71031
0.8,0.0707071,1,1.71302
0.8,0.0707071,2,1.69657
0.8,0.0757576,1,1.70313
0.8,0.0757576,2,1.69906
0.8,0.0808081,1,1.70168
0.8,0.0808081,2,1.69612
0.8,0.0858586,1,1.70079
0.8,0.0858586,2,1.69585
0.8,0.0909091,1,1.70782
0.8,0.0909091,2,1.70864
0.8,0.0959596,1,1.69507
0.8,0.0959596,2,1.70607
0.8,0.10101,1,1.68721
0.8,0.10101,2,1.70656
0.8,0.106061,1,1.70391
0.8,0.106061,2,1.69488
0.8,0.111111,1,1.70395
0.8,0.111111,2,1.69693
0.8,0.116162,1,1.702
0.8,0.116162,2,1.69471
0.8,0.121212,1,1.68802
0.8,0.121212,2,1.70856
0.8,0.126263,1,1.6972
0.8,0.126263,2,1.68433
0.8,0.131313,1,1.69268
0.8,0.131313,2,1.69155
0.8,0.136364,1,1.70363
0.8,0.136364,2,1.70086
0.8,0.141414,1,1.70247
0.8,0.141414,2,1.69421
0.8,0.146465,1,1.69277
0.8,0.146465,2,1.69599
0.8,0.151515,1,1.70426
0.8,0.151515,2,1.69509
0.8,0.156566,1,1.68813
0.8,0.156566,2,1.70791
0.8,0.161616,1,1.69141
0.8,0.161616,2,1.70425
0.8,0.166667,1,1.68538
0.8,0.166667,2,1.70913
0.8,0.171717,1,1.69617
0.8,0.171717,2,1.68862
0.8,0.176768,1,1.69434
0.8,0.176768,2,1.70117
0.8,0.181818,1,1.69822
0.8,0.181818,2,1.69287
0.8,0.186869,1,1.69557
0.8,0.186869,2,1.69963
0.8,0.191919,1,1.69512
0.8,0.191919,2,1.68938
0.8,0.19697,1,1.69156
0.8,0.19697,2,1.69576
0.8,0.20202,1,1.69622
0.8,0.20202,2,1.68973
0.8,0.207071,1,1.68838
0.8,0.207071,2,1.69684
0.8,0.212121,1,1.69362
0.8,0.212121,2,1.68864
0.8,0.217172,1,1.68414
0.8,0.217172,2,1.69494
0.8,0.222222,1,1.69008
0.8,0.222222,2,1.6879
0.8,0.227273,1,1.69215
0.8,0.227273,2,1.68884
0.8,0.232323,1,1.68843
0.8,0.232323,2,1.69311
0.8,0.237374,1,1.68477
0.8,0.237374,2,1.69761
0.8,0.242424,1,1.69466
0.8,0.242424,2,1.68883
0.8,0.247475,1,1.68689
0.8,0.247475,2,1.68636
0.8,0.252525,1,1.68741
0.8,0.252525,2,1.69438
0.8,0.257576,1,1.70444
0.8,0.257576,2,1.69
0.8,0.262626,1,1.68933
0.8,0.262626,2,1.69257
0.8,0.267677,1,1.68887
0.8,0.267677,2,1.69081
0.8,0.272727,1,1.68718
0.8,0.272727,2,1.68674
0.8,0.277778,1,1.69858
0.8,0.277778,2,1.68258
0.8,0.282828,1,1.69563
0.8,0.282828,2,1.69293
0.8,0.287879,1,1.68398
0.8,0.287879,2,1.69379
0.8,0.292929,1,1.68958
0.8,0.292929,2,1.69674
0.8,0.29798,1,1.68658
0.8,0.29798,2,1.68085
0.8,0.30303,1,1.68048
0.8,0.30303,2,1.69344
0.8,0.308081,1,1.67801
0.8,0.308081,2,1.6957
0.8,0.313131,1,1.6838
0.8,0.313131,2,1.69306
0.8,0.318182,1,1.68746
0.8,0.318182,2,1.68656
0.8,0.323232,1,1.69397
0.8,0.323232,2,1.68002
0.8,0.328283,1,1.69647
0.8,0.328283,2,1.684
0.8,0.333333,1,1.69244
0.8,0.333333,2,1.68102
0.8,0.338384,1,1.69212
0.8,0.338384,2,1.68027
0.8,0.343434,1,1.68265
0.8,0.343434,2,1.6826
0.8,0.348485,1,1.68346
0.8,0.348485,2,1.6853
0.8,0.353535,1,1.68576
0.8,0.353535,2,1.68112
0.8,0.358586,1,1.69489
0.8,0.358586,2,1.67898
0.8,0.363636,1,1.68415
0.8,0.363636,2,1.68896
0.8,0.368687,1,1.68847
0.8,0.368687,2,1.67988
0.8,0.373737,1,1.67223
0.8,0.373737,2,1.68601
0.8,0.378788,1,1.68195
0.8,0.378788,2,1.6749
0.8,0.383838,1,1.68148
0.8,0.383838,2,1.68802
0.8,0.388889,1,1.68759
0.8,0.388889,2,1.67855
0.8,0.393939,1,1.6836
0.8,0.393939,2,1.68857
0.8,0.39899,1,1.69091
0.8,0.39899,2,1.67941
0.8,0.40404,1,1.68508
0.8,0.40404,2,1.68048
0.8,0.409091,1,1.68664
0.8,0.409091,2,1.68092
0.8,0.414141,1,1.68307
0.8,0.414141,2,1.67525
0.8,0.419192,1,1.68348
0.8,0.419192,2,1.68178
0.8,0.424242,1,1.68062
0.8,0.424242,2,1.68629
0.8,0.429293,1,1.68734
0.8,0.429293,2,1.67433
0.8,0.434343,1,1.68309
0.8,0.434343,2,1.67407
0.8,0.439394,1,1.68116
0.8,0.439394,2,1.68563
0.8,0.444444,1,1.67772
0.8,0.444444,2,1.6704
0.8,0.449495,1,1.67602
0.8,0.449495,2,1.67948
0.8,0.454545,1,1.6854
0.8,0.454545,2,1.67262
0.8,0.459596,1,1.67156
0.8,0.459596,2,1.68157
0.8,0.464646,1,1.68368
0.8,0.464646,2,1.67502
0.8,0.469697,1,1.66923
0.8,0.469697,2,1.67575
0.8,0.474747,1,1.68487
0.8,0.474747,2,1.67541
0.8,0.479798,1,1.67829
0.8,0.479798,2,1.67918
0.8,0.484848,1,1.67659
0.8,0.484848,2,1.67135
0.8,0.489899,1,1.6715
0.8,0.489899,2,1.67889
0.8,0.494949,1,1.67961
0.8,0.494949,2,1.67726
0.8,0.5,1,1.67908
0.8,0.5,2,1.68265
1,0,1,1.79246
1,0,2,1.78656
1,0.00505051,1,1.78653
1,0.00505051,2,1.78338
1,0.010101,1,1.77423
1,0.010101,2,1.7796
1,0.0151515,1,1.78394
1,0.0151515,2,1.77115
1,0.020202,1,1.77704
1,0.020202,2,1.77733
1,0.0252525,1,1.77697
1,0.0252525,2,1.7768
1,0.030303,1,1.77688
1,0.030303,2,1.76887
1,0.0353535,1,1.78116
1,0.0353535,2,1.76706
1,0.040404,1,1.77102
1,0.040404,2,1.76655
1,0.0454545,1,1.76763
1,0.0454545,2,1.75582
1,0.0505051,1,1.77527
1,0.0505051,2,1.77576
1,0.0555556,1,1.77726
1,0.0555556,2,1.75684
1,0.0606061,1,1.7737
1,0.0606061,2,1.76708
1,0.0656566,1,1.7677
1,0.0656566,2,1.77254
1,0.0707071,1,1.77495
1,0.0707071,2,1.77007
1,0.0757576,1,1.76019
1,0.0757576,2,1.76631
1,0.0808081,1,1.77778
1,0.0808081,2,1.76248
1,0.0858586,1,1.76177
1,0.0858586,2,1.76851
1,0.0909091,1,1.77397
1,0.0909091,2,1.76808
1,0.0959596,1,1.76477
1,0.0959596,2,1.75965
1,0.10101,1,1.77395
1,0.10101,2,1.76193
1,0.106061,1,1.75755
1,0.106061,2,1.76067
1,0.111111,1,1.76688
1,0.111111,2,1.77811
1,0.116162,1,1.76
1,0.116162,2,1.76962
1,0.121212,1,1.75947
1,0.121212,2,1.76588
1,0.126263,1,1.76527
1,0.126263,2,1.76551
1,0.131313,1,1.77053
1,0.131313,2,1.76904
1,0.136364,1,1.76098
1,0.136364,2,1.75688
1,0.141414,1,1.75571
1,0.141414,2,1.76066
1,0.146465,1,1.76477
1,0.146465,2,1.75913
1,0.151515,1,1.76003
1,0.151515,2,1.75476
1,0.156566,1,1.75258
1,0.156566,2,1.75098
1,0.161616,1,1.75964
1,0.161616,2,1.75292
1,0.166667,1,1.74494
1,0.166667,2,1.76
1,0.171717,1,1.75155
1,0.171717,2,1.75099
1,0.176768,1,1.74889
1,0.176768,2,1.7421
1,0.181818,1,1.74865
1,0.181818,2,1.74915
1,0.186869,1,1.74688
1,0.186869,2,1.75935
1,0.191919,1,1.74439
1,0.191919,2,1.74639
1,0.19697,1,1.75019
1,0.19697,2,1.75226
1,0.20202,1,1.74315
1,0.20202,2,1.73627
1,0.207071,1,1.73929
1,0.207071,2,1.74581
1,0.212121,1,1.74714
1,0.212121,2,1.74206
1,0.217172,1,1.74858
1,0.217172,2,1.72853
1,0.222222,1,1.73244
1,0.222222,2,1.73761
1,0.227273,1,1.73928
1,0.227273,2,1.73588
1,0.232323,1,1.73757
1,0.232323,2,1.73874
1,0.237374,1,1.73689
1,0.237374,2,1.73065
1,0.242424,1,1.73225
1,0.242424,2,1.73599
1,0.247475,1,1.72835
1,0.247475,2,1.73684
1,0.252525,1,1.73225
1,0.252525,2,1.72764
1,0.257576,1,1.73663
1,0.257576,2,1.73216
1,0.262626,1,1.73345
1,0.262626,2,1.73629
1,0.267677,1,1.74144
1,0.267677,2,1.72119
1,0.272727,1,1.73297
1,0.272727,2,1.73143
1,0.277778,1,1.7311
1,0.277778,2,1.72529
1,0.282828,1,1.72854
1,0.282828,2,1.73933
1,0.287879,1,1.72656
1,0.287879,2,1.72635
1,0.292929,1,1.73614
1,0.292929,2,1.72786
1,0.29798,1,1.71982
1,0.29798,2,1.73723
1,0.30303,1,1.73106
1,0.30303,2,1.72947
1,0.308081,1,1.74029
1,0.308081,2,1.70774
1,0.313131,1,1.71809
1,0.313131,2,1.73113
1,0.318182,1,1.72229
1,0.318182,2,1.7348
1,0.323232,1,1.7318
1,0.323232,2,1.71714
1,0.328283,1,1.72057
1,0.328283,2,1.73187
1,0.333333,1,1.72876
1,0.333333,2,1.71544
1,0.338384,1,1.72123
1,0.338384,2,1.72843
1,0.343434,1,1.72887
1,0.343434,2,1.73273
1,0.348485,1,1.72046
1,0.348485,2,1.73406
1,0.353535,1,1.72352
1,0.353535,2,1.72839
1,0.358586,1,1.72127
1,0.358586,2,1.73205
1,0.363636,1,1.7304
1,0.363636,2,1.71551
1,0.368687,1,1.72509
1,0.368687,2,1.7225
1,0.373737,1,1.72859
1,0.373737,2,1.71845
1,0.378788,1,1.72105
1,0.378788,2,1.71581
1,0.383838,1,1.73452
1,0.383838,2,1.71816
1,0.388889,1,1.72691
1,0.388889,2,1.71701
1,0.393939,1,1.7292
1,0.393939,2,1.72186
1,0.39899,1,1.72154
1,0.39899,2,1.71972
1,0.40404,1,1.7225
1,0.40404,2,1.71907
1,0.409091,1,1.71558
1,0.409091,2,1.71485
1,0.414141,1,1.72254
1,0.414141,2,1.72523
1,0.419192,1,1.71706
1,0.419192,2,1.71916
1,0.424242,1,1.70941
1,0.424242,2,1.72021
1,0.429293,1,1.71041
1,0.429293,2,1.72928
1,0.434343,1,1.71914
1,0.434343,2,1.71436
1,0.439394,1,1.70666
1,0.439394,2,1.71081
1,0.444444,1,1.7166
1,0.444444,2,1.70344
1,0.449495,1,1.71881
1,0.449495,2,1.70888
1,0.454545,1,1.71113
1,0.454545,2,1.7147
1,0.459596,1,1.719
1,0.459596,2,1.7068
1,0.464646,1,1.71738
1,0.464646,2,1.70837
1,0.469697,1,1.71449
1,0.469697,2,1.71788
1,0.474747,1,1.71545
1,0.474747,2,1.70671
1,0.479798,1,1.72199
1,0.479798,2,1.7006
1,0.484848,1,1.70182
1,0.484848,2,1.71589
1,0.489899,1,1.71124
1,0.489899,2,1.70767
1,0.494949,1,1.7092
1,0.494949,2,1.71989
1,0.5,1,1.70683
1,0.5,2,1.71385
