omega,c,firm,profit
0,0,1,0.135393
0,0,2,0.136586
0,0.00505051,1,0.134661
0,0.00505051,2,0.134818
0,0.010101,1,0.135
0,0.010101,2,0.134125
0,0.0151515,1,0.133905
0,0.0151515,2,0.134006
0,0.020202,1,0.134041
0,0.020202,2,0.134532
0,0.0252525,1,0.134358
0,0.0252525,2,0.133527
0,0.030303,1,0.132436
0,0.030303,2,0.133497
0,0.0353535,1,0.132338
0,0.0353535,2,0.13315
0,0.040404,1,0.1329
0,0.040404,2,0.133848
0,0.0454545,1,0.133053
0,0.0454545,2,0.132681
0,0.0505051,1,0.133336
0,0.0505051,2,0.133661
0,0.0555556,1,0.132087
0,0.0555556,2,0.131233
0,0.0606061,1,0.131956
0,0.0606061,2,0.132148
0,0.0656566,1,0.132443
0,0.0656566,2,0.133247
0,0.0707071,1,0.131242
0,0.0707071,2,0.131759
0,0.0757576,1,0.131273
0,0.0757576,2,0.132494
0,0.0808081,1,0.131988
0,0.0808081,2,0.131525
0,0.0858586,1,0.131058
0,0.0858586,2,0.129432
0,0.0909091,1,0.13092
0,0.0909091,2,0.130305
0,0.0959596,1,0.129963
0,0.0959596,2,0.130128
0,0.10101,1,0.131274
0,0.10101,2,0.129873
0,0.106061,1,0.130977
0,0.106061,2,0.130316
0,0.111111,1,0.129474
0,0.111111,2,0.12815
0,0.116162,1,0.129736
0,0.116162,2,0.128689
0,0.121212,1,0.12926
0,0.121212,2,0.12945
0,0.126263,1,0.127426
0,0.126263,2,0.128319
0,0.131313,1,0.126645
0,0.131313,2,0.127207
0,0.136364,1,0.129558
0,0.136364,2,0.128668
0,0.141414,1,0.128619
0,0.141414,2,0.127588
0,0.146465,1,0.12784
0,0.146465,2,0.128091
0,0.151515,1,0.126237
0,0.151515,2,0.12706
0,0.156566,1,0.127166
0,0.156566,2,0.127415
0,0.161616,1,0.127988
0,0.161616,2,0.126647
0,0.166667,1,0.127659
0,0.166667,2,0.125599
0,0.171717,1,0.127099
0,0.171717,2,0.125479
0,0.176768,1,0.125951
0,0.176768,2,0.125917
0,0.181818,1,0.125253
0,0.181818,2,0.126078
0,0.186869,1,0.12565
0,0.186869,2,0.125661
0,0.191919,1,0.125932
0,0.191919,2,0.124954
0,0.19697,1,0.126552
0,0.19697,2,0.125974
0,0.20202,1,0.124729
0,0.20202,2,0.125015
0,0.207071,1,0.125388
0,0.207071,2,0.124519
0,0.212121,1,0.124908
0,0.212121,2,0.124243
0,0.217172,1,0.124134
0,0.217172,2,0.124306
0,0.222222,1,0.124454
0,0.222222,2,0.123584
0,0.227273,1,0.124558
0,0.227273,2,0.122378
0,0.232323,1,0.123161
0,0.232323,2,0.123463
0,0.237374,1,0.123184
0,0.237374,2,0.123078
0,0.242424,1,0.123386
0,0.242424,2,0.12256
0,0.247475,1,0.122796
0,0.247475,2,0.123125
0,0.252525,1,0.123168
0,0.252525,2,0.122706
0,0.257576,1,0.122589
0,0.257576,2,0.121626
0,0.262626,1,0.12178
0,0.262626,2,0.12266
0,0.267677,1,0.121922
0,0.267677,2,0.120962
0,0.272727,1,0.122038
0,0.272727,2,0.121927
0,0.277778,1,0.121041
0,0.277778,2,0.122014
0,0.282828,1,0.120813
0,0.282828,2,0.121168
0,0.287879,1,0.120361
0,0.287879,2,0.121309
0,0.292929,1,0.120867
0,0.292929,2,0.120497
0,0.29798,1,0.120374
0,0.29798,2,0.12115
0,0.30303,1,0.119897
0,0.30303,2,0.120766
0,0.308081,1,0.120266
0,0.308081,2,0.121102
0,0.313131,1,0.120474
0,0.313131,2,0.119949
0,0.318182,1,0.120521
0,0.318182,2,0.118943
0,0.323232,1,0.119187
0,0.323232,2,0.119306
0,0.328283,1,0.118355
0,0.328283,2,0.119263
0,0.333333,1,0.118579
0,0.333333,2,0.118454
0,0.338384,1,0.119992
0,0.338384,2,0.11962
0,0.343434,1,0.118509
0,0.343434,2,0.11826
0,0.348485,1,0.118245
0,0.348485,2,0.117757
0,0.353535,1,0.11709
0,0.353535,2,0.117302
0,0.358586,1,0.118039
0,0.358586,2,0.118206
0,0.363636,1,0.117777
0,0.363636,2,0.118137
0,0.368687,1,0.116888
0,0.368687,2,0.11747
0,0.373737,1,0.117251
0,0.373737,2,0.116399
0,0.378788,1,0.117686
0,0.378788,2,0.11647
0,0.383838,1,0.116394
0,0.383838,2,0.116975
0,0.388889,1,0.116272
0,0.388889,2,0.116772
0,0.393939,1,0.116783
0,0.393939,2,0.115929
0,0.39899,1,0.115727
0,0.39899,2,0.115514
0,0.40404,1,0.115844
0,0.40404,2,0.114282
0,0.409091,1,0.115016
0,0.409091,2,0.114697
0,0.414141,1,0.115309
0,0.414141,2,0.114631
0,0.419192,1,0.115548
0,0.419192,2,0.115147
0,0.424242,1,0.113523
0,0.424242,2,0.114129
0,0.429293,1,0.113007
0,0.429293,2,0.115118
0,0.434343,1,0.113767
0,0.434343,2,0.114643
0,0.439394,1,0.113073
0,0.439394,2,0.113766
0,0.444444,1,0.115107
0,0.444444,2,0.114335
0,0.449495,1,0.113192
0,0.449495,2,0.113675
0,0.454545,1,0.112763
0,0.454545,2,0.113715
0,0.459596,1,0.113127
0,0.459596,2,0.11213
0,0.464646,1,0.112689
0,0.464646,2,0.114267
0,0.469697,1,0.112311
0,0.469697,2,0.11248
0,0.474747,1,0.111825
0,0.474747,2,0.111587
0,0.479798,1,0.112581
0,0.479798,2,0.111362
0,0.484848,1,0.112273
0,0.484848,2,0.111787
0,0.489899,1,0.111015
0,0.489899,2,0.111497
0,0.494949,1,0.110428
0,0.494949,2,0.110502
0,0.5,1,0.111385
0,0.5,2,0.110623
0.8,0,1,0.138435
0.8,0,2,0.13791
0.8,0.00505051,1,0.137032
0.8,0.00505051,2,0.136663
0.8,0.010101,1,0.137316
0.8,0.010101,2,0.137666
0.8,0.0151515,1,0.138241
0.8,0.0151515,2,0.138284
0.8,0.020202,1,0.137166
0.8,0.020202,2,0.13663
0.8,0.0252525,1,0.136184
0.8,0.0252525,2,0.136447
0.8,0.030303,1,0.137348
0.8,0.030303,2,0.136829
0.8,0.0353535,1,0.136873
0.8,0.0353535,2,0.136801
0.8,0.040404,1,0.136622
0.8,0.040404,2,0.137807
0.8,0.0454545,1,0.135977
0.8,0.0454545,2,0.134937
0.8,0.0505051,1,0.136893
0.8,0.0505051,2,0.135346
0.8,0.0555556,1,0.13707
0.8,0.0555556,2,0.137174
0.8,0.0606061,1,0.136211
0.8,0.0606061,2,0.135645
0.8,0.0656566,1,0.135364
0.8,0.0656566,2,0.135621
0.8,0.0707071,1,0.135761
0.8,0.0707071,2,0.135125
0.8,0.0757576,1,0.13474
0.8,0.0757576,2,0.134906
0.8,0.0808081,1,0.13528
0.8,0.0808081,2,0.134327
0.8,0.0858586,1,0.13565
0.8,0.0858586,2,0.134856
0.8,0.0909091,1,0.135336
0.8,0.0909091,2,0.134565
0.8,0.0959596,1,0.134978
0.8,0.0959596,2,0.134859
0.8,0.10101,1,0.133754
0.8,0.10101,2,0.135354
0.8,0.106061,1,0.13399
0.8,0.106061,2,0.132652
0.8,0.111111,1,0.133439
0.8,0.111111,2,0.13352
0.8,0.116162,1,0.133921
0.8,0.116162,2,0.133615
0.8,0.121212,1,0.13334
0.8,0.121212,2,0.134747
0.8,0.126263,1,0.131824
0.8,0.126263,2,0.131727
0.8,0.131313,1,0.133692
0.8,0.131313,2,0.132959
0.8,0.136364,1,0.133108
0.8,0.136364,2,0.13237
0.8,0.141414,1,0.132061
0.8,0.141414,2,0.1326
0.8,0.146465,1,0.131849
0.8,0.146465,2,0.132144
0.8,0.151515,1,0.133874
0.8,0.151515,2,0.132858
0.8,0.156566,1,0.130431
0.8,0.156566,2,0.132162
0.8,0.161616,1,0.13135
0.8,0.161616,2,0.132354
0.8,0.166667,1,0.131659
0.8,0.166667,2,0.132824
0.8,0.171717,1,0.132428
0.8,0.171717,2,0.131477
0.8,0.176768,1,0.130387
0.8,0.176768,2,0.131656
0.8,0.181818,1,0.131448
0.8,0.181818,2,0.131808
0.8,0.186869,1,0.13031
0.8,0.186869,2,0.130649
0.8,0.191919,1,0.130501
0.8,0.191919,2,0.130571
0.8,0.19697,1,0.12843
0.8,0.19697,2,0.129804
0.8,0.20202,1,0.130518
0.8,0.20202,2,0.129119
0.8,0.207071,1,0.128778
0.8,0.207071,2,0.129722
0.8,0.212121,1,0.130301
0.8,0.212121,2,0.129754
0.8,0.217172,1,0.128567
0.8,0.217172,2,0.129356
0.8,0.222222,1,0.128048
0.8,0.222222,2,0.127959
0.8,0.227273,1,0.128841
0.8,0.227273,2,0.128085
0.8,0.232323,1,0.128258
0.8,0.232323,2,0.128452
0.8,0.237374,1,0.12827
0.8,0.237374,2,0.129292
0.8,0.242424,1,0.1303
0.8,0.242424,2,0.128966
0.8,0.247475,1,0.127728
0.8,0.247475,2,0.128065
0.8,0.252525,1,0.127997
0.8,0.252525,2,0.128414
0.8,0.257576,1,0.127764
0.8,0.257576,2,0.127418
0.8,0.262626,1,0.127957
0.8,0.262626,2,0.127713
0.8,0.267677,1,0.126385
0.8,0.267677,2,0.126692
0.8,0.272727,1,0.125913
0.8,0.272727,2,0.126281
0.8,0.277778,1,0.12737
0.8,0.277778,2,0.125686
0.8,0.282828,1,0.127749
0.8,0.282828,2,0.12653
0.8,0.287879,1,0.126063
0.8,0.287879,2,0.127889
0.8,0.292929,1,0.125954
0.8,0.292929,2,0.125885
0.8,0.29798,1,0.125166
0.8,0.29798,2,0.124699
0.8,0.30303,1,0.124274
0.8,0.30303,2,0.125317
0.8,0.308081,1,0.124531
0.8,0.308081,2,0.125938
0.8,0.313131,1,0.12497
0.8,0.313131,2,0.125197
0.8,0.318182,1,0.124032
0.8,0.318182,2,0.123942
0.8,0.323232,1,0.125007
0.8,0.323232,2,0.123791
0.8,0.328283,1,0.124535
0.8,0.328283,2,0.124073
0.8,0.333333,1,0.123274
0.8,0.333333,2,0.123589
0.8,0.338384,1,0.124474
0.8,0.338384,2,0.124159
0.8,0.343434,1,0.123065
0.8,0.343434,2,0.123551
0.8,0.348485,1,0.123104
0.8,0.348485,2,0.122988
0.8,0.353535,1,0.122744
0.8,0.353535,2,0.1222
0.8,0.358586,1,0.123283
0.8,0.358586,2,0.12191
0.8,0.363636,1,0.122931
0.8,0.363636,2,0.123835
0.8,0.368687,1,0.122935
0.8,0.368687,2,0.122015
0.8,0.373737,1,0.120636
0.8,0.373737,2,0.121065
0.8,0.378788,1,0.120936
0.8,0.378788,2,0.119865
0.8,0.383838,1,0.120758
0.8,0.383838,2,0.12101
0.8,0.388889,1,0.122165
0.8,0.388889,2,0.121163
0.8,0.393939,1,0.121351
0.8,0.393939,2,0.12075
0.8,0.39899,1,0.121062
0.8,0.39899,2,0.120223
0.8,0.40404,1,0.120811
0.8,0.40404,2,0.12012
0.8,0.409091,1,0.121111
0.8,0.409091,2,0.119829
0.8,0.414141,1,0.120353
0.8,0.414141,2,0.119348
0.8,0.419192,1,0.11889
0.8,0.419192,2,0.119111
0.8,0.424242,1,0.118442
0.8,0.424242,2,0.119537
0.8,0.429293,1,0.120018
0.8,0.429293,2,0.118515
0.8,0.434343,1,0.11861
0.8,0.434343,2,0.119244
0.8,0.439394,1,0.118684
0.8,0.439394,2,0.119117
0.8,0.444444,1,0.117812
0.8,0.444444,2,0.117551
0.8,0.449495,1,0.117584
0.8,0.449495,2,0.117281
0.8,0.454545,1,0.118042
0.8,0.454545,2,0.117282
0.8,0.459596,1,0.117059
0.8,0.459596,2,0.11711
0.8,0.464646,1,0.117699
0.8,0.464646,2,0.117804
0.8,0.469697,1,0.115749
0.8,0.469697,2,0.116695
0.8,0.474747,1,0.116402
0.8,0.474747,2,0.115963
0.8,0.479798,1,0.116219
0.8,0.479798,2,0.116561
0.8,0.484848,1,0.114963
0.8,0.484848,2,0.114488
0.8,0.489899,1,0.114977
0.8,0.489899,2,0.115471
0.8,0.494949,1,0.11654
0.8,0.494949,2,0.116231
0.8,0.5,1,0.115954
0.8,0.5,2,0.116105
1,0,1,0.151288
1,0,2,0.151698
1,0.00505051,1,0.151988
1,0.00505051,2,0.151471
1,0.010101,1,0.150032
1,0.010101,2,0.149874
1,0.0151515,1,0.150716
1,0.0151515,2,0.149742
1,0.020202,1,0.149058
1,0.020202,2,0.149529
1,0.0252525,1,0.149495
1,0.0252525,2,0.148834
1,0.030303,1,0.148206
1,0.030303,2,0.148678
1,0.0353535,1,0.148873
1,0.0353535,2,0.149008
1,0.040404,1,0.147784
1,0.040404,2,0.146935
1,0.0454545,1,0.147416
1,0.0454545,2,0.145888
1,0.0505051,1,0.148249
1,0.0505051,2,0.148022
1,0.0555556,1,0.147243
1,0.0555556,2,0.146186
1,0.0606061,1,0.147746
1,0.0606061,2,0.147053
1,0.0656566,1,0.146784
1,0.0656566,2,0.145936
1,0.0707071,1,0.147713
1,0.0707071,2,0.147649
1,0.0757576,1,0.145619
1,0.0757576,2,0.146288
1,0.0808081,1,0.147382
1,0.0808081,2,0.146498
1,0.0858586,1,0.146151
1,0.0858586,2,0.145886
1,0.0909091,1,0.14683
1,0.0909091,2,0.146823
1,0.0959596,1,0.145426
1,0.0959596,2,0.144496
1,0.10101,1,0.145849
1,0.10101,2,0.144875
1,0.106061,1,0.144813
1,0.106061,2,0.144088
1,0.111111,1,0.145677
1,0.111111,2,0.146002
1,0.116162,1,0.144273
1,0.116162,2,0.144914
1,0.121212,1,0.144085
1,0.121212,2,0.143556
1,0.126263,1,0.14441
1,0.126263,2,0.145306
1,0.131313,1,0.144814
1,0.131313,2,0.145007
1,0.136364,1,0.143186
1,0.136364,2,0.142881
1,0.141414,1,0.142701
1,0.141414,2,0.143332
1,0.146465,1,0.143799
1,0.146465,2,0.142386
1,0.151515,1,0.141734
1,0.151515,2,0.142703
1,0.156566,1,0.140567
1,0.156566,2,0.141102
1,0.161616,1,0.141713
1,0.161616,2,0.140867
1,0.166667,1,0.140535
1,0.166667,2,0.141164
1,0.171717,1,0.141773
1,0.171717,2,0.140276
1,0.176768,1,0.139229
1,0.176768,2,0.138859
1,0.181818,1,0.139628
1,0.181818,2,0.140023
1,0.186869,1,0.14003
1,0.186869,2,0.141001
1,0.191919,1,0.138372
1,0.191919,2,0.138429
1,0.19697,1,0.139772
1,0.19697,2,0.139607
1,0.20202,1,0.138276
1,0.20202,2,0.137384
1,0.207071,1,0.138119
1,0.207071,2,0.138014
1,0.212121,1,0.137586
1,0.212121,2,0.137605
1,0.217172,1,0.137197
1,0.217172,2,0.136448
1,0.222222,1,0.135862
1,0.222222,2,0.136529
1,0.227273,1,0.135553
1,0.227273,2,0.136121
1,0.232323,1,0.136355
1,0.232323,2,0.136498
1,0.237374,1,0.135792
1,0.237374,2,0.135044
1,0.242424,1,0.135221
1,0.242424,2,0.135503
1,0.247475,1,0.134675
1,0.247475,2,0.135491
1,0.252525,1,0.134883
1,0.252525,2,0.134347
1,0.257576,1,0.13544
1,0.257576,2,0.134684
1,0.262626,1,0.134762
1,0.262626,2,0.134553
1,0.267677,1,0.134121
1,0.267677,2,0.133423
1,0.272727,1,0.134029
1,0.272727,2,0.134129
1,0.277778,1,0.133871
1,0.277778,2,0.13322
1,0.282828,1,0.133957
1,0.282828,2,0.133698
1,0.287879,1,0.132517
1,0.287879,2,0.132417
1,0.292929,1,0.133851
1,0.292929,2,0.132849
1,0.29798,1,0.132246
1,0.29798,2,0.133127
1,0.30303,1,0.132718
1,0.30303,2,0.132432
1,0.308081,1,0.132421
1,0.308081,2,0.130463
1,0.313131,1,0.130362
1,0.313131,2,0.131509
1,0.318182,1,0.131946
1,0.318182,2,0.13196
1,0.323232,1,0.131763
1,0.323232,2,0.129928
1,0.328283,1,0.130065
1,0.328283,2,0.13181
1,0.333333,1,0.130348
1,0.333333,2,0.129511
1,0.338384,1,0.130521
1,0.338384,2,0.130961
1,0.343434,1,0.130678
1,0.343434,2,0.131445
1,0.348485,1,0.12991
1,0.348485,2,0.130653
1,0.353535,1,0.130181
1,0.353535,2,0.129975
1,0.358586,1,0.129386
1,0.358586,2,0.129621
1,0.363636,1,0.129144
1,0.363636,2,0.127984
1,0.368687,1,0.128819
1,0.368687,2,0.129301
1,0.373737,1,0.128716
1,0.373737,2,0.128167
1,0.378788,1,0.127798
1,0.378788,2,0.127823
1,0.383838,1,0.128458
1,0.383838,2,0.127923
1,0.388889,1,0.128222
1,0.388889,2,0.127411
1,0.393939,1,0.127995
1,0.393939,2,0.128122
1,0.39899,1,0.126856
1,0.39899,2,0.12722
1,0.40404,1,0.12643
1,0.40404,2,0.126228
1,0.409091,1,0.125573
1,0.409091,2,0.125838
1,0.414141,1,0.126662
1,0.414141,2,0.12721
1,0.419192,1,0.125449
1,0.419192,2,0.126029
1,0.424242,1,0.124681
1,0.424242,2,0.125511
1,0.429293,1,0.124884
1,0.429293,2,0.125802
1,0.434343,1,0.12529
1,0.434343,2,0.124548
1,0.439394,1,0.122751
1,0.439394,2,0.123469
1,0.444444,1,0.124193
1,0.444444,2,0.122976
1,0.449495,1,0.123764
1,0.449495,2,0.123535
1,0.454545,1,0.123434
1,0.454545,2,0.124032
1,0.459596,1,0.123572
1,0.459596,2,0.122845
1,0.464646,1,0.123853
1,0.464646,2,0.123282
1,0.469697,1,0.122955
1,0.469697,2,0.123375
1,0.474747,1,0.122359
1,0.474747,2,0.122239
1,0.479798,1,0.123424
1,0.479798,2,0.122171
1,0.484848,1,0.121838
1,0.484848,2,0.122586
1,0.489899,1,0.121897
1,0.489899,2,0.121531
1,0.494949,1,0.121136
1,0.494949,2,0.121868
1,0.5,1,0.1204
1,0.5,2,0.12086
